NCT00875134, Drug Evaluation, Clinical Research Protocol, Medical Records, Protocols, Nursing, Drug-Related Side Effects and Adverse Reactions, Intraoperative Awareness, Pragmatic Clinical Trial, Drug Approval Process, Respiratory Therapy, Nutrition Therapy,,,,,
NCT00876174, Drug Evaluation, drisapersen, Hematologic Agents, Hepatitis C, Chronic, Sustained Virologic Response, HIV Seropositivity, Drug Approval Process, Risk Factors, Clinical Trials, Phase IV as Topic, Cancer Screening,,,,
NCT00878293, Movalis, Drug Evaluation, Analgesics, Clinical Trials, Phase IV as Topic, Drug-Related Side Effects and Adverse Reactions, Pain Management, milgamma, Treatment Effectiveness, Pregabalin, Ketogan,,,,,
NCT00883675, Multicenter Study, Clinical Trials, Phase I as Topic, Clinical Trials, Phase IV as Topic, Drug-Related Side Effects and Adverse Reactions, Temodal, Drug Evaluation, ombrabulin, Clinical Trials, Randomized, evofosfamide, Oncophage,,,
NCT00885287, Coartem, triomune, Drug Evaluation, Centers for Disease Control and Prevention (U.S.), HIV Seropositivity, Drug-Related Side Effects and Adverse Reactions, Fansimef, Clinical Trials, Phase IV as Topic, Antiretroviral Therapy, Highly Active, malarone,,,,
NCT00886210, Postoperative Nausea, Defecation, Postoperative Nausea and Vomiting, Intraoperative Period, Cholecystectomy, Vomiting, Postoperative, Pain, Postoperative, Interpleural Analgesia, Cryoanesthesia, Movalis,,,,
NCT00887380, Prophylactic Mastectomy, Breast-Conserving Surgery, Clinical Research Protocol, Multicenter Study, Mastectomy, Radical, Cancer of Skin, Breast Carcinoma In Situ, Treatment Protocols, Breast, Mastectomy, Segmental,,,,
NCT00889174, Neurologic Findings, Multiple Chemical Sensitivity, Asymptomatic Diseases, Neurobehavioral Manifestations, Cognition Disorders, Multiple Sclerosis, Disease, Biochemical Phenomena, Outcome Studies, Neuropsychological Tests,,,,,,
NCT00889811, Cardiovascular Surgical Procedures, Myocardial Revascularization, Coronary Artery Bypass, Perioperative Period, Thrombolytic Therapy, Counterpulsation, External, Stroke, Acute, Shock, Cardiogenic, Cardiopulmonary Bypass, Angina Pectoris,,,
NCT00893269, Drug-Related Side Effects and Adverse Reactions, Drug Evaluation, Drug Therapy, Nonprescription Drugs, Overmedication, Analgesics, Deprescribing, Drug Withdrawal Symptoms, Drug Prescriptions, Psychotropic Drugs,,,,,,
NCT00894088, Omnitrope, Drug Approval Process, Clinical Trials, Phase IV as Topic, Drug Compounding, Drug Evaluation, Food-Drug Interactions, Sovaldi, Drug Labeling, Protropin, Norvir,,,,,
NCT00896129, Pulmonary Medicine, Clinical Research Protocol, Secondary Care Centers, Multicenter Study, Obstetrics Department, Pragmatic Clinical Trial, Clinical Trials, Phase IV as Topic, Nonrespondents, Practice Patterns, Physicians', Protocols, Nursing,,,
NCT00896740, Drug Evaluation, drisapersen, Multicenter Study, Hematologic Neoplasms, Revlimid, Drug Approval Process, Antineoplastic Protocols, Clinical Trials, Phase IV as Topic, Clinical Research Protocol, Neumega,,,,,
NCT00899028, Biomarkers, Tumor, Cancer Screening, Carcinoma in Situ, Multicenter Study, Hematologic Neoplasms, Neoplasms, Unknown Primary, Drug Evaluation, Antineoplastic Protocols, Clinical Trials, Phase I as Topic, Liver Function Tests,,,
NCT00901888, Digoxin, Etilefrine, Hypotension, Vasoconstrictor Agents, VS-105, Hematologic Agents, Minipress, Doxazosin, Nitroglycerin, Hydroxyethylrutoside,,,,,,
NCT00904332, Photic Stimulation, Models, Neurological, Brainwave Biofeedback, Healthy Volunteers, Sensory Motor Performance, Mental Processes, Body-Image Agnosia, Perceptual Motor Performance, Transcranial Alternating Current Stimulation, Neurofeedback,,,,,
NCT00905879, Drug Approval Process, Clinical Research Protocol, Drug Evaluation, Device Approval, Medication Systems, Clinical Trials, Phase IV as Topic, Drug Labeling, Drug Utilization Review, Product Approval, New Drug Approval,,,,,
NCT00911833, Clinical Research Protocol, Genetic Information, Personal, Practice Patterns, Physicians', Physician-Patient Relations, Disability Evaluation, Outcome Measures, Nonrespondents, Drug Evaluation, Needs Assessment, Deprescribing,,,,
NCT00912158, Respiratory Therapy, Continuous Positive Airway Pressure, Blood Gas Analysis, Extracorporeal Membrane Oxygenation, Work of Breathing, Cardiovascular Surgical Procedures, Oxygen Inhalation Therapy, Patient Readmission, Pulmonologists, Protocols, Nursing,,,,,
NCT00912483, Drug Evaluation, Clinical Trials, Randomized, Treatment Effectiveness, Clivarin, Systemic Enzyme Therapy, Clinical Trials, Phase IV as Topic, Acenocoumarol, Lovenox, Drug Costs, Hematologic Agents,,,,
NCT00913731, Clinical Research Protocol, Disability Evaluation, Nonrespondents, Outcome Studies, Outcome Measures, Behavior Observation Techniques, Outcome Assessment (Health Care), Diagnosis, Psychiatric, Pragmatic Clinical Trial, Rehabilitation Research,,,,,
NCT00915070, Nitroglycerin, Hypotension, Doxium, Capillary Resistance, Blood Pressure Monitors, Single-Masked Study, Ocular Hypotension, Cardiac Output, White Coat Hypertension, Blood Pressure Determination,,,,,,
NCT00916240, Nonrespondents, Drug Therapy, Self Care, Outcome Measures, Episode of Care, Deprescribing, Compliant Behavior, Drug Evaluation, Multimorbidity, Drug-Related Side Effects and Adverse Reactions,,,,,,
NCT00917631, Infant Care, Infant Welfare, Medical Records, Respiratory Therapy, Protocols, Nursing, Intensive Care Units, Neonatal, Breast Feeding, Infant, Extremely Premature, Breast Milk Expression, Clinical Research Protocol,,,
NCT00918892, Cancer Screening, Triple Negative Breast Neoplasms, Biomarkers, Tumor, Breast Carcinoma In Situ, Carcinoma, Ductal, Breast, Breast Neoplasms, ERbetacx, Tissue Microarray Analysis, Carcinoma, Mammary Ductal, Endometrial Carcinoma,,
NCT00922844, Intraoperative Period, Nitroglycerin, Cardiovascular Surgical Procedures, Cryoanesthesia, Anesthesia, Intravenous, Anesthetics, Inhalation, Anesthesia, General, Postoperative Nausea, Alfentanil, Anesthesia,,,
NCT00927472, Hematologic Agents, Treatment Effectiveness, Drug Evaluation, Dexatrim, Contractubex, Patient Dropouts, Periodontal Debridement, drisapersen, Treatment Protocols, Periostat,,,,,,
NCT00928044, Leiomyoma, Gynecological Examination, Menorrhagia, Uterine Monitoring, Prophylactic Mastectomy, Pregnancy, Heterotopic, Ovariectomy, Genital Diseases, Female, Endometrial Diseases, Uterus,,,,
NCT00928304, ((11)C)PIB, florbetapir F 18, 18F-FMISO, Hematologic Agents, Ceretec, (123I)iomazenil, BF 227, Brain Imaging, Fluorodeoxyglucose F18, Technetium Tc 99m Exametazime,,,,,,
NCT00929799, Insulin Shock, Hyperinsulinism, Euglycemic Clamp, Glucose Metabolism Disorders, Glucose Clamping, Fasting, Hyperlipidemias, Weight Loss, Lipolysis, Incretin Effect,,,,,,
NCT00931255, Kidney Function Tests, Creatinine, Renal Dialysis, CsA-Neoral, Graft Rejection, Heart-Lung Transplantation, Certican, Transplant Recipients, Tissue Transplants, Simulect,,,,,,
NCT00932126, drisapersen, evofosfamide, CRLX101, Drug Administration Schedule, Neumega, Drug Toxicity, Clinical Trials, Phase I as Topic, tecemotide, Drug-Related Side Effects and Adverse Reactions, Altretamine,,,,,
NCT00933413, Centers for Disease Control and Prevention (U.S.), Therapeutics, Drug Evaluation, Systemic Enzyme Therapy, Drug Compounding, Hematologic Agents, Asymptomatic Diseases, Drug Hypersensitivity, Drug Labeling, Treatment Effectiveness,,,,,,
NCT00935181, Vital Capacity, Breathing Exercises, Endurance Shuttle Walk Test, Respiratory Muscles, Spirometry, Cardiopulmonary Exercise Test, Exercise Therapy, Maximal Voluntary Ventilation, Work of Breathing, Breath Tests,,,,,,
NCT00937287, Risk Reduction Behavior, Self Care, Screening, Nonrespondents, Risk Behavior, Transition to Adult Care, Family Research, Patient Transition, Outcome Measures, Health Knowledge, Attitudes, Practice,,,,
